station,horizon,persistence,actual_events,predicted_events,matched_events,false_alarms,missed_events,event_precision,event_recall,event_f1,onset_error_hours,onset_error_hours_n,peak_error_hours,peak_error_hours_n,duration_error_hours,duration_error_hours_n,recovery_error_hours,recovery_error_hours_n
Patparganj Delhi DPCC,24,2,108,81,57,24,51,0.7037037037037037,0.5277777777777778,0.6031746031746033,7.0,31,7.526315789473684,57,9.55,20,4.0344827586206895,29
Patparganj Delhi DPCC,24,3,91,71,53,18,38,0.7464788732394366,0.5824175824175825,0.654320987654321,7.642857142857143,28,7.811320754716981,53,9.736842105263158,19,4.071428571428571,28
Patparganj Delhi DPCC,24,6,56,48,36,12,20,0.75,0.6428571428571429,0.6923076923076924,9.428571428571429,21,9.777777777777779,36,8.647058823529411,17,3.4347826086956523,23
Punjabi Bagh Delhi DPCC,1,2,92,84,71,13,21,0.8452380952380952,0.7717391304347826,0.8068181818181818,1.8852459016393444,61,2.9577464788732395,71,1.5098039215686274,51,1.087719298245614,57
Punjabi Bagh Delhi DPCC,1,3,69,67,57,10,12,0.8507462686567164,0.8260869565217391,0.838235294117647,2.020408163265306,49,3.456140350877193,57,1.7179487179487178,39,1.2045454545454546,44
Punjabi Bagh Delhi DPCC,1,6,42,43,37,6,5,0.8604651162790697,0.8809523809523809,0.8705882352941177,2.6451612903225805,31,4.675675675675675,37,2.25,24,1.0714285714285714,28
Punjabi Bagh Delhi DPCC,6,2,99,60,48,12,51,0.8,0.48484848484848486,0.6037735849056605,5.892857142857143,28,5.354166666666667,48,6.909090909090909,22,2.5357142857142856,28
Punjabi Bagh Delhi DPCC,6,3,76,53,41,12,35,0.7735849056603774,0.5394736842105263,0.6356589147286822,6.076923076923077,26,5.878048780487805,41,6.85,20,2.739130434782609,23
Punjabi Bagh Delhi DPCC,6,6,41,31,25,6,16,0.8064516129032258,0.6097560975609756,0.6944444444444445,6.294117647058823,17,8.16,25,7.384615384615385,13,2.875,16
Punjabi Bagh Delhi DPCC,12,2,104,72,51,21,53,0.7083333333333334,0.49038461538461536,0.5795454545454546,8.0,31,6.392156862745098,51,6.666666666666667,21,3.642857142857143,28
